asin,price,rank
B000M69KW6,15.0,1239799
B000M7AYOI,178.67,2757769
B000MAESRE,14.99,187985
B000MATKPO,32.99,209568
B000MGR2IU,7.57,138866
B000MLEW24,8.95,3008770
B000MLS9UA,13.98,146066
B000MOH552,14.25,80241
B000MQ6XJY,26.0,3131286
B000MRK5LK,518.02,2019610
B000MT1GHA,169.99,229148
B000MZAADU,16.99,1315014
B000N5QWH2,16.13,1076432
B000NB7IWE,17.25,35092
B000NCTTGG,2.57,38171
B000NCW562,38.38,619282
B000NCWXRI,16.0,885620
B000NJJAUE,23.25,232970
B000NJJFBI,28.99,335066
B000NJMSXU,9.0,326425
B000NJMRQS,7.05,635808
B000NMH512,4.0,270641
B000NN5HFW,18.23,92339
B000NN5GU8,47.06,540407
B000NN5GTO,13.41,940089
B000NNFL3K,73.99,1477450
B000NNM5L6,10.99,1128861
B000NPVD7Q,11.99,204614
B000NPYCMO,43.9,1291410
B000NQ6PJ6,14.69,35820
B000NSV6R0,11.0,51757
B000NSZ4SW,15.21,2241318
B000NVSICI,48.82,807289
B000NW4I6M,18.99,627401
B000NWMOBS,25.0,52306
B000NY66DS,30.9,288106
B000NYZE40,75.0,1810708
B000NZ2776,13.22,999858
B000O0C4ZA,7.0,1131928
B000O2MBB0,14.99,532415
B000O5D486,14.59,3358435
B000OP1OLA,34.19,1872490
B000OQ4AO2,31.31,147071
B000OQFVLS,14.95,68534
B000ORS718,14.75,940568
B000OV0BDQ,24.95,521656
B000OV40LA,14.92,45786
B000OV3XPO,14.49,85773
B000P01NG0,41.52,1095215
B000P0CRN8,3.99,733747
B000P79BE4,13.9,161566
B000P8559S,27.95,834555
B000PA3B6A,14.36,39011
B000PAL9AA,36.99,632799
B000PARERW,28.94,11370
B000PCAEGS,127.94,1495741
B000PD79GA,33.73,425483
B000PJG99C,33.0,611463
B000PKJQGO,7.99,1957546
B000PKKAFK,17.6,1161678
B000PKKAGO,51.63,907489
B000PR87QW,10.9,712927
B000PUK8E8,34.99,162286
B000PW13QS,15.0,38136
B000Q40BT0,15.0,161622
B000Q4AIHU,13.99,72684
B000Q69R98,19.84,409364
B000Q6HBIW,26.0,201003
B000QB4E32,120.0,1389908
B000QB8VO0,19.95,1605232
B000QFBTW2,29.95,1339151
B000QG5LD4,27.65,1229605
B000QGZLUM,17.9,1928175
B000QJH49K,9.99,294014
B000QUHNVS,16.99,69970
B000QY0N0W,3.99,754676
B000QY0P9G,3.99,1668738
B000QYHRFQ,112.58,1828368
B000R8MADA,44.58,516061
B000R8Y24A,14.23,883945
B000RBKWK0,22.5,782020
B000RBW9H4,59.99,714031
B000RFDQB8,46.0,1115550
B000RGXII8,17.29,1614541
B000RJDZOC,7.99,84928
B000RKXG1I,9.99,736816
B000RMVIIY,12.99,1399625
B000RN3D8G,9.59,2908545
B000RO4LNG,38.5,1273602
B000RPJ4BE,60.0,3269854
B000RPIC2Q,39.99,1271376
B000S0EL2A,10.98,2870692
B000S0G7QS,8.81,371505
B000S17FUO,194.99,287637
B000S8GMFG,19.4,813371
B000SJU61G,20.02,1241581
B000SJW2RC,10.86,1134664
B000SOLNNQ,59.97,1573551
B000SOLK1Q,47.08,227949
B000SOLM3W,25.26,211726
B000SOOS7O,8.19,1061029
B000SOOKTA,84.11,863133
B000SOORBQ,24.99,331585
B000SUIA40,21.99,128819
B000T0KCEU,20.19,2239840
B000T3B32C,19.99,198466
B000T9JM8S,8.45,544613
B000TBSBAQ,39.34,2778524
B000TCB6DO,10.5,182946
B000TEOVA2,49.05,1531025
B000TESWFM,120.93,1319517
B000TF246Y,8.19,244976
B000TGEI5S,14.95,505246
B000TGGEZU,40.12,845547
B000THHNIQ,17.0,854464
B000TLSSUO,42.94,257313
B000TQLQFI,12.84,347080
B000TSV12E,10.76,3004573
B000U0ITBC,44.99,1195973
B000U5ZSRA,108.36,1900271
B000U7VGH4,98.17,423711
B000UBHDHM,24.99,1391087
B000UGCIKY,5.97,609132
B000UIB51A,19.9,716080
B000UK4Y6Q,9.99,510209
B000ULGMVU,57.05,402882
B000UN6W36,14.63,442786
B000UPK72Q,62.03,620852
B000UQKCB6,50.49,1493179
B000URUSPK,46.75,651117
B000URYTPU,41.8,228367
B000USALAQ,9.5,37105
B000USQY16,7.9,107487
B000V20WWS,7.9,188605
B000V2MBZ4,26.95,19395
B000V3MRZM,45.55,1801759
B000V3QBF4,19.16,269148
B000V5KL7G,4.98,1519261
B000V5PC70,11.99,139319
B000V5Z4J6,47.79,52797
B000V86CUS,30.0,109491
B000V86EP6,23.99,2362163
B000VBPTXG,25.0,738535
B000VC8U5E,40.69,530949
B000VDCFDG,14.5,2646677
B000VETB5U,16.95,289106
B000VH6YM0,5.6,314819
B000VI8Y40,12.99,143893
B000VJTZVK,15.99,651811
B000VL168S,75.79,855910
B000VLFF6C,5.19,1030422
B000VM0CL4,42.98,1750380
B000VOFNDE,6.93,629448
B000VPWGNS,27.99,275425
B000VR9PQC,9.93,227379
B000VSX55I,295.99,762576
B000VUNC8Q,1.26,482511
B000VUNYL6,29.0,1367266
B000VUXCGI,20.93,72952
B000VV2ED4,10.36,2424742
B000VVIPU0,13.5,884648
B000VX06I2,19.13,314489
B000VYOPTW,15.95,109341
B000VYPKRI,16.0,1458241
B000VYXLT2,99.99,1769265
B000W078XA,31.99,203140
B000W42YQW,18.4,198971
B000W9DZ8S,26.55,837709
B000W9F9UK,31.92,3058342
B000W9IWMM,2.99,824959
B000WAQSKO,139.95,1856194
B000WGZ3UE,16.95,470920
B000WI50IM,39.0,315617
B000WICABC,5.15,88889
B000WLAQ6A,14.63,1232371
B000WMYFUM,19.98,697418
B000WMYFKM,17.99,892817
B000WN45UQ,17.95,182970
B000WN2T0Y,37.99,151033
B000WN5K2S,12.56,113070
B000WNWW7Y,39.99,147918
B000WP9DEW,63.0,169516
B000WQDWB6,15.5,72001
B000WR2HB6,9.49,24265
B000WT5OUU,28.97,796725
B000WYJTZG,28.7,4421
B000WZH8EY,22.5,54301
B000WZRVIC,6.99,1529832
B000X2FPXC,11.99,24397
B000X2H8XC,945.0,1218801
B000X7ST9Y,8.61,158705
B000X8H61A,41.95,130538
B000XQFBSM,34.09,241180
B000XQO82C,16.99,440073
B000XSDC7C,31.0,537821
B000XV745A,21.5,24064
B000YB70PS,12.0,3273
B000YFR73E,32.95,1276473
B000YJONU0,11.7,1634973
B000Z5YA6K,361.77,1711548
B000Z90BAA,26.7,175000
B000Z93YJA,9.99,1420177
B000ZIYDZA,9.65,948293
B000ZM99M8,40.79,1529614
B000ZMBSNG,8.59,334646
B00102JGFC,117.95,702246
B00103H2T8,27.95,452450
B00103JA4S,29.78,1378142
B00103KS4E,28.01,914504
B00103JA1G,46.05,1722848
B00108SZFS,0.99,1865678
B0010MGGSC,13.98,230255
B0010V7C86,16.9,464060
B0010VI1IQ,17.16,2043346
B0010ZBORW,7.99,146621
B00112DRHY,5.95,42351
B0011DHP3K,4.95,3128010
B0011DJC4A,5.99,311230
B0011W5APG,21.95,1261408
B0011XZZFU,19.65,1362872
B001205296,16.17,722423
B00120VWTK,11.45,7403
B00125NS9M,9.35,452207
B00126LYJM,48.0,317522
B00127YI5I,7.13,535579
B001280EKA,20.47,1327944
B001284IBQ,12.99,919026
B0012C9UGK,69.99,853469
B0012F88AQ,26.0,155158
B0012KGZG0,7.79,982732
B0012LUXFS,34.39,31521
B0012N2DH2,6.99,367653
B0012NV0RG,20.38,1593844
B0012VQLAY,14.39,1575869
B0012VV8H0,24.84,3077009
B0012XPRO8,16.0,306615
B001348WVQ,22.5,2010683
B00134IZMW,19.95,1237349
B00134O6NO,69.89,433622
B00135FLQO,29.5,732841
B00138WAOC,8.99,43260
B00138YJZA,14.49,549471
B00139K6P6,6.92,85277
B0013AG0GO,27.99,238058
B0013ANMBU,12.18,826199
B0013EITKA,9.98,87781
B0013G6HAM,3.49,551470
B0013GAJWO,12.02,139277
B0013J90AS,6.28,8266
B0013NHTSY,5.57,680987
B0013NHR90,5.32,645655
B0013OVXP8,7.63,825883
B0013Y4MH4,109.99,938621
B0013YB0NI,5.0,1973429
B0013YC23A,18.73,513969
B0013YXQ58,4.97,16075
B00141E36Q,4.47,308710
B0014405I8,17.09,1461519
B001441XFM,3.99,32806
B0014AX89K,3.89,196421
B0014C31JA,19.95,229876
B0014CQNPY,16.95,1723751
B0014J82QU,15.0,1875595
B0014SQQ3M,68.99,466927
B0014ZA9QU,8.99,183219
B001546R3E,40.79,2285810
B00155Z6V2,13.99,135427
B00157BTMU,29.75,1220208
B00157OBRU,9.99,88200
B00159VK6S,9.65,381738
B00159ZPXM,8.36,953452
B0015A08VA,20.61,319220
B0015ADDP8,159.0,742141
B0015B0C24,23.99,780225
B0015K2WAU,12.0,1281582
B0015NMSLK,7.65,1826157
B0015TAS7K,146.99,997657
B0015TBAFE,16.99,1313852
B0015TB89C,34.9,162207
B0015TBERS,19.45,930080
B0015TCT54,443.49,2590026
B0015TDCDW,55.99,2028148
B0015TDJ1M,63.24,732705
B0015TENTY,37.99,1058232
B0015TEOFM,96.88,1049520
B0015TG1JE,7.89,182025
B0015TGK9K,34.99,1173611
B0015TEWUO,21.49,981097
B0015TIBVK,6.5,789368
B0015TK71C,7.59,2102047
B0015TIGOC,26.97,325996
B0015XK5RO,17.95,3338933
B00160FV98,1.49,1804638
B001615ZUW,22.0,3255760
B00166K8NG,5.46,1001102
B0016AZS4Q,7.98,292236
B0016BFK2U,3.69,56775
B0016HOVZG,19.79,678516
B0016IU0ZK,99.99,3263192
B0016J3AI8,16.76,1187665
B0016JDQP0,4.99,642090
B0016K7DBM,16.86,1399907
B0016OYR12,12.42,287113
B0016PEVR6,9.99,2014878
B0016PKWK6,36.95,192745
B0016ZMQMS,9.41,70603
B00170HL22,18.99,1238358
B00179HZ5G,34.93,550916
B0017A0U6Q,20.09,1634573
B0017DQ0U8,27.37,159498
B0017GBAAA,24.89,518476
B0017GQKZU,39.79,174347
B0017LO24Q,13.75,531864
B0017N162K,10.53,796813
B0017QTG60,16.99,2849642
B0017TJGR6,9.85,219957
B0017TZD7S,15.88,6805
B0017UATIA,22.22,1604298
B00181LBSA,7.97,197370
B00182JYSS,4.93,347193
B00183WFOM,10.76,984308
B00185SPJO,17.99,59160
B00185VWWQ,4.99,681517
B001860E92,18.0,208452
B00188150C,34.99,324250
B0018BV900,11.95,1515110
B0018BYKW4,12.0,35408
B0018BYLQO,17.17,1758043
B0018BYIE4,18.38,454790
B0018CG7EW,16.66,513286
B0018NF0JY,8.99,1114599
B0018NLFSO,116.0,162740
B0018OVL4G,11.65,62501
B0018QDN54,16.99,3185217
B0018S26B4,21.99,1007967
B0018Y3MA2,99.92,617675
B00190PJBK,10.52,338198
B00194BL22,5.43,1958816
B00195R3F0,5.99,2607060
B00195ZZ00,59.8,531621
B00198W38O,4.08,2401562
B0019D26L8,29.99,464465
B0019H4NHO,40.5,668458
B0019J8Q52,13.1,146900
B0019MS3NY,9.46,398185
B0019WXVCC,48.49,858927
B0019X3FV8,13.52,34414
B001A1NJOM,2.49,52986
B001A3E5P2,52.18,1440114
B001A42L2A,19.99,345773
B001AF1QKM,78.0,1740050
B001AFOKFU,13.19,145044
B001AH5UNY,13.98,164012
B001AH7HEY,6.13,332386
B001AJ6YS2,14.74,288553
B001AK8OAM,11.66,849167
B001AKP5CM,13.75,1191421
B001AKWZCU,13.5,1460024
B001AMRQ2W,29.35,313532
B001ANKZ1A,15.99,933248
B001ANL0O6,18.39,1198181
B001ANMUWC,28.6,1065088
B001ANMWL6,29.45,3142292
B001ANMX9M,33.34,1083301
B001ANOP7K,6.95,1693609
B001ANQSEI,15.99,2038516
B001ANQT56,15.25,2595018
B001ANR040,9.99,583927
B001ANRMU2,21.99,1076892
B001ANRNJW,44.97,1849065
B001ANRYLY,122.7,109045
B001ANRNAG,26.79,1780649
B001ANTWO6,17.94,1729768
B001AO2MNS,21.99,257411
B001AQSRI0,39.0,1800060
B001ARV2MC,13.99,691508
B001ASHFC2,192.11,1184230
B001AT5E8S,56.99,1146291
B001ATGAZY,51.95,662882
B001AWQO8E,18.5,2389043
B001AZ75J8,25.0,1557164
B001B0SHW6,12.72,750845
B001B8P3LG,36.0,745964
B001BAUJ18,20.02,1338892
B001BB2474,20.64,546934
B001BB0X8G,12.1,286575
B001BBIT8M,39.95,2468682
B001BBYBWU,13.99,888688
B001BFM49I,54.87,193664
B001BKLWZK,8.95,236210
B001BOKR3E,43.99,62694
B001BROT1M,6.91,46035
B001BXPMVM,29.04,2654824
B001BY0C02,15.79,1625013
B001C448FQ,28.05,112673
B001CB2RIE,44.95,973725
B001CDGVWA,6.1,379094
B001CIYI5C,22.5,268744
B001CJ693A,5.99,99647
B001CUU9KI,9.2,14446
B001CWFB5O,11.99,1990526
B001CWH1DE,225.0,1773957
B001CXVBQQ,12.79,202403
B001CYA28I,12.13,1203540
B001D0OSLS,4.99,212248
B001D2AV3K,13.04,396266
B001DDE1AI,18.99,1108210
B001DSRJ7A,7.5,816837
B001DT1J1Q,11.99,221834
B001DUW93W,9.99,1223884
B001DVVSZ6,33.5,559983
B001DYFIPY,5.99,28487
B001DYK8QI,12.85,1087503
B001DYM54Q,12.99,1199384
B001DZD31E,18.95,2701766
B001E0C9LI,37.34,509733
B001E0MXGO,19.0,529598
B001E0ORVI,13.73,1131597
B001E0X4RG,19.0,201358
B001E0X72I,49.32,403542
B001E0Y5YM,31.65,890754
B001E0ZMF8,55.24,1960595
B001E108HE,6.67,1208924
B001E124EO,15.99,83111
B001E1266A,399.0,549856
B001E12KQ6,14.41,1143136
B001E15BVM,34.75,1597843
B001E1AZYU,45.06,1419824
B001E1XWCM,4.79,78709
B001E4CXVA,10.99,935612
B001E5PLCM,44.99,803553
B001E6OCAI,30.56,85378
B001E76B2O,32.49,153139
B001E77O1Q,20.58,206750
B001E96LXQ,17.48,3124
B001E96LUO,18.96,169988
B001E96P6O,12.08,96501
B001ECQ7S2,35.49,370496
B001ECVFFC,24.36,189049
B001ELUXKG,4.99,1368175
B001ENL7HW,20.36,440706
B001ENSLW6,3.99,111786
B001EOFPE2,6.99,1275153
B001ES8G76,10.79,994403
B001ET77OI,25.74,4802
B001ET782Y,17.56,47446
B001EUCERC,19.97,601068
B001EXT5J4,8.43,568243
B001EYCTAK,11.99,403184
B001EZ89US,12.5,357131
B001F2WT5G,9.99,746510
B001F36WQM,6.95,1269523
B001F51QLQ,23.49,576631
B001F51RAG,19.47,4088
B001F51R9M,11.09,308302
B001F51RBU,22.03,3019
B001F51T6S,20.56,70414
B001F627VS,24.95,883879
B001F6B8XQ,8.6,1786139
B001F6ILGI,36.51,1307003
B001FA751G,22.67,1961669
B001FUHCB4,27.33,2093574
B001G2MIJW,10.69,407971
B001G773LU,34.99,1095694
B001G7PMPE,16.48,441499
B001G8RW5Q,9.99,508086
B001G8ZRAS,36.33,1075300
B001G9NI6W,19.99,383716
B001GCAL8C,23.44,880644
B001GS2BGG,19.42,2723160
B001H0YT5Y,15.95,159226
B001H54CS8,11.01,2500662
B001H66RL2,13.28,488788
B001HC5KS2,40.88,912634
B001HYO65S,7.99,37966
B001I1WXY6,55.36,117312
B001I2Q5DA,32.95,1226277
B001I2Q72O,44.95,1291893
B001I2XAOW,32.95,1300764
B001I9RP5K,19.5,3123044
B001I9WOD8,7.99,229907
B001IYQBGE,26.0,113600
B001J2XXES,30.15,850851
B001J6O0NW,16.9,396289
B001J7Q458,8.5,505258
B001J9R93W,6.7,415147
B001JZ6GJO,18.95,19721
B001K80AYM,27.0,55113
B001KWB3Y4,48.54,422266
B001KY5GUE,27.4,1423143
B001KYCZ62,24.32,406818
B001KYJ01K,10.35,292492
B001KYLGZI,30.99,52494
B001KYO6K0,24.9,40493
B001KYQ38I,5.99,1984766
B001KYQ3QA,14.95,1005775
B001KYU0AK,8.0,397153
B001KZF8WO,36.95,623089
B001L44B9U,18.39,678957
B001L6MLTU,30.25,1006116
B001L738I2,148.75,1262505
B001L9OEMY,15.48,673292
B001LEPYT6,4.07,222049
B001LFIFLO,7.34,2664435
B001LG986O,257.41,2513397
B001LNODUS,7.27,295601
B001LYA9GE,77.9,812150
B001LYBSK0,5.47,654954
B001M22TFY,35.95,691395
B001M2BGDA,16.95,291623
B001M5DU04,15.2,1046535
B001M95O3G,103.54,871370
B001MGS4YK,9.99,567109
B001MKX7XO,9.95,837531
B001MP5XNQ,35.98,1192380
B001MPXPQS,10.0,434259
B001MQ1DGG,22.0,1063539
B001MV6370,7.49,13828
B001MW1MK2,3.94,7748
